"Informazioni cronologiche","Mothertongue ","Second Language","You showed up an hour late for a dinner with your friends. ","You borrowed your father’s keys but you lost them. Your father needs them back.","You had just left the restaurant and you are checking the receipt, you noticed that you had paid less than you should have","You were supposed to go to a friend’s graduation party but forgot to do so because you had a job interview.","You accidentally run into the women’s toilet/men’s toilet while in a Pub.","You are eating an ice cream in a crowed place and it falls on a stranger's shoe","You had been invited to a dinner party and you forgot to take with you the bottle of wine that you have promised to bring ","You suggested an answer to a friend during an exam and you found out later that it was wrong"
"2019/12/03 2:52:48 PM CET","English","English","3 (somewhat severe)","4","1 (not severe)","2","1 (not severe)","2","2","2"
"2019/12/03 2:54:23 PM CET","Other","English","4","3 (somewhat severe)","3 (somewhat severe)","2","1 (not severe)","2","3 (somewhat severe)","2"
"2019/12/03 2:54:52 PM CET","Italian","English","3 (somewhat severe)","5 (severe)","3 (somewhat severe)","3 (somewhat severe)","1 (not severe)","3 (somewhat severe)","2","2"
"2019/12/03 2:55:49 PM CET","Italian","English","4","5 (severe)","3 (somewhat severe)","3 (somewhat severe)","1 (not severe)","3 (somewhat severe)","4","2"
"2019/12/03 2:55:57 PM CET","English","English","3 (somewhat severe)","4","1 (not severe)","2","1 (not severe)","2","1 (not severe)","3 (somewhat severe)"
"2019/12/03 2:57:47 PM CET","Other","English","5 (severe)","5 (severe)","1 (not severe)","3 (somewhat severe)","4","4","3 (somewhat severe)","3 (somewhat severe)"
"2019/12/03 2:57:53 PM CET","Italian","English","3 (somewhat severe)","4","1 (not severe)","3 (somewhat severe)","1 (not severe)","3 (somewhat severe)","3 (somewhat severe)","4"
"2019/12/03 2:58:31 PM CET","English","Other","4","3 (somewhat severe)","3 (somewhat severe)","2","1 (not severe)","1 (not severe)","3 (somewhat severe)","2"
"2019/12/03 2:58:55 PM CET","Italian","English","3 (somewhat severe)","1 (not severe)","4","3 (somewhat severe)","1 (not severe)","3 (somewhat severe)","1 (not severe)","4"
"2019/12/03 3:00:45 PM CET","English","Other","3 (somewhat severe)","3 (somewhat severe)","2","1 (not severe)","1 (not severe)","2","3 (somewhat severe)","3 (somewhat severe)"
"2019/12/03 3:01:52 PM CET","English","Other","5 (severe)","3 (somewhat severe)","2","3 (somewhat severe)","1 (not severe)","4","4","2"
"2019/12/03 3:01:58 PM CET","English","","3 (somewhat severe)","3 (somewhat severe)","4","2","1 (not severe)","2","2","1 (not severe)"
"2019/12/03 3:02:26 PM CET","English","","4","5 (severe)","2","1 (not severe)","2","3 (somewhat severe)","2","1 (not severe)"
"2019/12/03 3:02:57 PM CET","English","Other","3 (somewhat severe)","3 (somewhat severe)","2","1 (not severe)","1 (not severe)","1 (not severe)","2","4"
"2019/12/03 3:03:08 PM CET","English","Other","3 (somewhat severe)","4","4","4","1 (not severe)","2","2","2"
"2019/12/03 3:03:59 PM CET","English","Other","3 (somewhat severe)","4","3 (somewhat severe)","1 (not severe)","2","3 (somewhat severe)","3 (somewhat severe)","2"
"2019/12/03 3:04:21 PM CET","English","","4","5 (severe)","1 (not severe)","2","2","3 (somewhat severe)","3 (somewhat severe)","2"
"2019/12/03 3:05:09 PM CET","English","Other","2","1 (not severe)","1 (not severe)","3 (somewhat severe)","1 (not severe)","3 (somewhat severe)","2","1 (not severe)"
"2019/12/03 3:05:18 PM CET","English","Other","3 (somewhat severe)","4","2","3 (somewhat severe)","3 (somewhat severe)","1 (not severe)","1 (not severe)","1 (not severe)"
"2019/12/03 3:05:38 PM CET","English","English","1 (not severe)","3 (somewhat severe)","2","1 (not severe)","1 (not severe)","2","1 (not severe)","1 (not severe)"
"2019/12/03 3:08:56 PM CET","English","Other","4","5 (severe)","3 (somewhat severe)","1 (not severe)","1 (not severe)","2","2","3 (somewhat severe)"
"2019/12/03 3:09:08 PM CET","English","Other","3 (somewhat severe)","4","2","2","4","2","2","3 (somewhat severe)"
"2019/12/03 3:10:55 PM CET","English","Other","5 (severe)","3 (somewhat severe)","2","4","1 (not severe)","3 (somewhat severe)","2","2"
"2019/12/03 3:12:17 PM CET","English","English","3 (somewhat severe)","3 (somewhat severe)","2","2","1 (not severe)","2","2","2"
"2019/12/03 3:14:15 PM CET","English","Other","3 (somewhat severe)","3 (somewhat severe)","2","4","1 (not severe)","2","2","2"
"2019/12/03 3:14:42 PM CET","English","Other","3 (somewhat severe)","4","2","3 (somewhat severe)","2","3 (somewhat severe)","3 (somewhat severe)","4"
"2019/12/03 3:14:46 PM CET","English","Other","1 (not severe)","4","2","1 (not severe)","1 (not severe)","1 (not severe)","1 (not severe)","1 (not severe)"
"2019/12/03 3:15:10 PM CET","English","Other","3 (somewhat severe)","4","3 (somewhat severe)","4","3 (somewhat severe)","2","2","3 (somewhat severe)"
"2019/12/03 3:15:40 PM CET","Other","English","4","4","2","3 (somewhat severe)","1 (not severe)","2","1 (not severe)","2"
"2019/12/03 3:15:48 PM CET","English","","3 (somewhat severe)","5 (severe)","2","1 (not severe)","3 (somewhat severe)","2","1 (not severe)","2"
"2019/12/03 3:16:48 PM CET","English","Other","3 (somewhat severe)","3 (somewhat severe)","1 (not severe)","2","1 (not severe)","1 (not severe)","2","2"
"2019/12/03 3:17:54 PM CET","English","","3 (somewhat severe)","4","3 (somewhat severe)","2","1 (not severe)","3 (somewhat severe)","3 (somewhat severe)","5 (severe)"
"2019/12/03 3:18:05 PM CET","Other","English","2","5 (severe)","2","3 (somewhat severe)","3 (somewhat severe)","3 (somewhat severe)","2","1 (not severe)"
"2019/12/03 3:19:05 PM CET","English","Other","4","3 (somewhat severe)","3 (somewhat severe)","4","2","2","3 (somewhat severe)","2"
"2019/12/03 3:19:05 PM CET","English","Other","2","2","3 (somewhat severe)","1 (not severe)","3 (somewhat severe)","3 (somewhat severe)","4","4"
"2019/12/03 3:21:26 PM CET","Italian","English","3 (somewhat severe)","4","2","1 (not severe)","1 (not severe)","5 (severe)","5 (severe)","1 (not severe)"
"2019/12/03 3:21:33 PM CET","English","Other","3 (somewhat severe)","3 (somewhat severe)","1 (not severe)","2","1 (not severe)","2","2","2"
"2019/12/03 3:22:19 PM CET","English","Other","3 (somewhat severe)","3 (somewhat severe)","3 (somewhat severe)","2","2","2","2","2"
"2019/12/03 3:22:22 PM CET","English","","3 (somewhat severe)","4","1 (not severe)","2","2","4","3 (somewhat severe)","3 (somewhat severe)"
"2019/12/03 3:23:06 PM CET","English","Other","3 (somewhat severe)","3 (somewhat severe)","1 (not severe)","3 (somewhat severe)","1 (not severe)","2","4","3 (somewhat severe)"
"2019/12/03 3:23:08 PM CET","English","","4","5 (severe)","2","2","1 (not severe)","2","2","1 (not severe)"
"2019/12/03 3:24:08 PM CET","Italian","English","3 (somewhat severe)","5 (severe)","2","1 (not severe)","1 (not severe)","2","2","2"
"2019/12/03 3:24:16 PM CET","English","Other","3 (somewhat severe)","5 (severe)","5 (severe)","3 (somewhat severe)","1 (not severe)","4","2","4"
"2019/12/03 3:25:07 PM CET","English","Other","3 (somewhat severe)","3 (somewhat severe)","4","1 (not severe)","2","1 (not severe)","3 (somewhat severe)","1 (not severe)"
"2019/12/03 3:25:08 PM CET","English","Other","3 (somewhat severe)","4","5 (severe)","2","3 (somewhat severe)","3 (somewhat severe)","3 (somewhat severe)","3 (somewhat severe)"
"2019/12/03 3:25:32 PM CET","English","English","3 (somewhat severe)","4","2","3 (somewhat severe)","2","3 (somewhat severe)","2","2"
"2019/12/03 3:25:37 PM CET","English","Other","3 (somewhat severe)","3 (somewhat severe)","2","1 (not severe)","1 (not severe)","2","2","1 (not severe)"
"2019/12/03 3:25:44 PM CET","English","Other","2","3 (somewhat severe)","1 (not severe)","2","1 (not severe)","1 (not severe)","1 (not severe)","1 (not severe)"
"2019/12/03 3:26:04 PM CET","English","Other","3 (somewhat severe)","4","2","3 (somewhat severe)","1 (not severe)","2","2","2"
"2019/12/03 3:27:09 PM CET","English","","4","5 (severe)","2","2","1 (not severe)","2","1 (not severe)","1 (not severe)"
"2019/12/03 3:27:18 PM CET","English","English","4","3 (somewhat severe)","4","3 (somewhat severe)","1 (not severe)","2","2","2"
"2019/12/03 3:27:35 PM CET","English","Other","3 (somewhat severe)","4","1 (not severe)","2","3 (somewhat severe)","2","2","1 (not severe)"
"2019/12/03 3:27:43 PM CET","English","English","3 (somewhat severe)","4","1 (not severe)","3 (somewhat severe)","1 (not severe)","3 (somewhat severe)","4","3 (somewhat severe)"
"2019/12/03 3:28:48 PM CET","English","Other","5 (severe)","5 (severe)","3 (somewhat severe)","3 (somewhat severe)","1 (not severe)","2","2","2"
"2019/12/03 3:29:03 PM CET","English","English","2","3 (somewhat severe)","1 (not severe)","2","1 (not severe)","1 (not severe)","2","2"
"2019/12/03 3:30:10 PM CET","English","","1 (not severe)","2","2","2","1 (not severe)","1 (not severe)","1 (not severe)","1 (not severe)"
"2019/12/03 3:30:29 PM CET","English","Other","1 (not severe)","2","1 (not severe)","2","3 (somewhat severe)","3 (somewhat severe)","5 (severe)","2"
"2019/12/03 3:31:03 PM CET","English","Other","4","4","2","4","1 (not severe)","2","3 (somewhat severe)","2"
"2019/12/03 3:31:03 PM CET","English","Other","4","3 (somewhat severe)","3 (somewhat severe)","2","1 (not severe)","3 (somewhat severe)","3 (somewhat severe)","3 (somewhat severe)"
"2019/12/03 3:31:49 PM CET","English","","5 (severe)","4","1 (not severe)","2","2","1 (not severe)","1 (not severe)","1 (not severe)"
"2019/12/03 3:32:23 PM CET","Italian","English","3 (somewhat severe)","5 (severe)","2","3 (somewhat severe)","1 (not severe)","3 (somewhat severe)","2","3 (somewhat severe)"
"2019/12/03 3:32:40 PM CET","Italian","English","3 (somewhat severe)","4","1 (not severe)","5 (severe)","5 (severe)","5 (severe)","2","2"
"2019/12/03 3:33:09 PM CET","Other","English","5 (severe)","3 (somewhat severe)","1 (not severe)","3 (somewhat severe)","4","2","1 (not severe)","1 (not severe)"
"2019/12/03 3:33:58 PM CET","English","Other","2","3 (somewhat severe)","1 (not severe)","2","4","3 (somewhat severe)","3 (somewhat severe)","2"
"2019/12/03 3:34:17 PM CET","English","","4","3 (somewhat severe)","2","1 (not severe)","1 (not severe)","2","2","2"
"2019/12/03 3:34:24 PM CET","English","Other","5 (severe)","5 (severe)","1 (not severe)","2","1 (not severe)","3 (somewhat severe)","2","2"
"2019/12/03 3:34:26 PM CET","English","Other","2","2","1 (not severe)","2","1 (not severe)","1 (not severe)","1 (not severe)","3 (somewhat severe)"
"2019/12/03 3:34:47 PM CET","English","Other","3 (somewhat severe)","4","4","1 (not severe)","1 (not severe)","2","2","2"
"2019/12/03 3:34:54 PM CET","English","Other","5 (severe)","5 (severe)","3 (somewhat severe)","3 (somewhat severe)","1 (not severe)","2","2","3 (somewhat severe)"
"2019/12/03 3:35:30 PM CET","English","Other","4","4","1 (not severe)","3 (somewhat severe)","1 (not severe)","2","1 (not severe)","1 (not severe)"
"2019/12/03 3:36:00 PM CET","English","Other","3 (somewhat severe)","5 (severe)","1 (not severe)","2","1 (not severe)","1 (not severe)","2","1 (not severe)"
"2019/12/03 3:36:35 PM CET","English","","3 (somewhat severe)","5 (severe)","3 (somewhat severe)","1 (not severe)","2","2","3 (somewhat severe)","3 (somewhat severe)"
"2019/12/03 3:36:39 PM CET","English","Other","3 (somewhat severe)","4","2","2","4","2","2","1 (not severe)"
"2019/12/03 3:37:20 PM CET","English","Other","3 (somewhat severe)","3 (somewhat severe)","2","4","2","3 (somewhat severe)","3 (somewhat severe)","2"
"2019/12/03 3:38:43 PM CET","English","Other","2","4","1 (not severe)","2","1 (not severe)","3 (somewhat severe)","2","3 (somewhat severe)"
"2019/12/03 3:39:45 PM CET","Other","English","3 (somewhat severe)","4","4","2","1 (not severe)","2","2","1 (not severe)"
"2019/12/03 3:40:42 PM CET","English","Other","2","4","2","3 (somewhat severe)","3 (somewhat severe)","2","4","4"
"2019/12/03 3:41:26 PM CET","English","Other","2","3 (somewhat severe)","1 (not severe)","4","2","1 (not severe)","2","3 (somewhat severe)"
"2019/12/03 3:41:54 PM CET","English","","3 (somewhat severe)","3 (somewhat severe)","2","2","1 (not severe)","1 (not severe)","2","1 (not severe)"
"2019/12/03 3:41:56 PM CET","English","English","4","5 (severe)","2","3 (somewhat severe)","2","2","1 (not severe)","3 (somewhat severe)"
"2019/12/03 3:41:59 PM CET","English","","4","4","4","3 (somewhat severe)","1 (not severe)","2","2","2"
"2019/12/03 3:42:43 PM CET","Italian","Other","2","2","1 (not severe)","3 (somewhat severe)","1 (not severe)","1 (not severe)","1 (not severe)","1 (not severe)"
"2019/12/03 3:42:55 PM CET","Italian","Other","3 (somewhat severe)","2","2","2","2","1 (not severe)","3 (somewhat severe)","2"
"2019/12/03 3:43:14 PM CET","English","Other","3 (somewhat severe)","3 (somewhat severe)","2","2","1 (not severe)","2","2","2"
"2019/12/03 3:43:45 PM CET","English","Other","4","3 (somewhat severe)","2","3 (somewhat severe)","1 (not severe)","2","2","2"
"2019/12/03 3:44:25 PM CET","English","Other","3 (somewhat severe)","5 (severe)","2","4","3 (somewhat severe)","2","2","1 (not severe)"
"2019/12/03 3:44:45 PM CET","English","Other","2","4","5 (severe)","1 (not severe)","1 (not severe)","1 (not severe)","4","1 (not severe)"
"2019/12/03 3:45:36 PM CET","English","","4","5 (severe)","3 (somewhat severe)","3 (somewhat severe)","1 (not severe)","3 (somewhat severe)","1 (not severe)","1 (not severe)"
"2019/12/03 3:46:03 PM CET","English","English","4","4","4","2","2","2","2","2"
"2019/12/03 3:46:28 PM CET","English","","3 (somewhat severe)","4","1 (not severe)","2","2","1 (not severe)","2","2"
"2019/12/03 3:46:44 PM CET","English","Other","4","3 (somewhat severe)","1 (not severe)","2","1 (not severe)","1 (not severe)","2","3 (somewhat severe)"
"2019/12/03 3:46:48 PM CET","English","Other","3 (somewhat severe)","4","1 (not severe)","2","3 (somewhat severe)","1 (not severe)","1 (not severe)","2"
"2019/12/03 3:48:17 PM CET","English","","3 (somewhat severe)","4","2","5 (severe)","2","2","2","1 (not severe)"
"2019/12/03 3:49:27 PM CET","English","Other","4","5 (severe)","2","3 (somewhat severe)","2","2","3 (somewhat severe)","3 (somewhat severe)"
"2019/12/03 3:49:39 PM CET","English","Other","4","4","4","4","4","5 (severe)","5 (severe)","5 (severe)"
"2019/12/03 3:50:20 PM CET","English","Other","3 (somewhat severe)","4","3 (somewhat severe)","2","2","3 (somewhat severe)","2","2"
"2019/12/03 3:51:26 PM CET","English","Other","3 (somewhat severe)","4","1 (not severe)","2","1 (not severe)","3 (somewhat severe)","2","2"
"2019/12/03 3:52:21 PM CET","English","Other","3 (somewhat severe)","4","5 (severe)","1 (not severe)","3 (somewhat severe)","4","2","3 (somewhat severe)"
"2019/12/03 3:52:26 PM CET","English","Other","3 (somewhat severe)","5 (severe)","2","2","1 (not severe)","3 (somewhat severe)","1 (not severe)","2"
"2019/12/03 3:53:01 PM CET","English","","3 (somewhat severe)","4","1 (not severe)","2","3 (somewhat severe)","3 (somewhat severe)","2","3 (somewhat severe)"
"2019/12/03 3:54:24 PM CET","English","Other","5 (severe)","2","1 (not severe)","2","2","2","2","2"
"2019/12/03 3:54:27 PM CET","English","Other","4","5 (severe)","3 (somewhat severe)","2","2","2","2","3 (somewhat severe)"
"2019/12/03 3:54:59 PM CET","English","Other","3 (somewhat severe)","4","2","3 (somewhat severe)","1 (not severe)","1 (not severe)","1 (not severe)","1 (not severe)"
"2019/12/03 3:55:02 PM CET","English","Other","5 (severe)","4","1 (not severe)","3 (somewhat severe)","2","2","2","2"
"2019/12/03 3:55:24 PM CET","English","Other","4","5 (severe)","2","2","1 (not severe)","2","3 (somewhat severe)","2"
"2019/12/03 3:55:33 PM CET","Italian","English","3 (somewhat severe)","3 (somewhat severe)","1 (not severe)","2","1 (not severe)","2","2","3 (somewhat severe)"
"2019/12/03 3:58:48 PM CET","English","Other","2","2","1 (not severe)","2","1 (not severe)","1 (not severe)","2","5 (severe)"
"2019/12/03 3:59:12 PM CET","English","Other","3 (somewhat severe)","4","4","2","3 (somewhat severe)","3 (somewhat severe)","3 (somewhat severe)","2"
"2019/12/03 4:00:46 PM CET","English","Other","3 (somewhat severe)","4","3 (somewhat severe)","3 (somewhat severe)","1 (not severe)","4","3 (somewhat severe)","3 (somewhat severe)"
"2019/12/03 4:01:16 PM CET","English","Other","4","4","3 (somewhat severe)","3 (somewhat severe)","1 (not severe)","3 (somewhat severe)","3 (somewhat severe)","5 (severe)"
"2019/12/03 4:02:00 PM CET","English","Other","4","5 (severe)","1 (not severe)","3 (somewhat severe)","2","2","1 (not severe)","3 (somewhat severe)"
"2019/12/03 4:02:20 PM CET","English","English","3 (somewhat severe)","4","3 (somewhat severe)","3 (somewhat severe)","2","2","2","2"
"2019/12/03 4:03:07 PM CET","English","Other","4","5 (severe)","3 (somewhat severe)","2","1 (not severe)","2","2","3 (somewhat severe)"
"2019/12/03 4:03:07 PM CET","English","Other","4","5 (severe)","2","2","2","3 (somewhat severe)","1 (not severe)","1 (not severe)"
"2019/12/03 4:04:47 PM CET","English","Other","3 (somewhat severe)","4","3 (somewhat severe)","4","2","2","3 (somewhat severe)","3 (somewhat severe)"
"2019/12/03 4:05:28 PM CET","Italian","Other","4","4","2","3 (somewhat severe)","3 (somewhat severe)","4","3 (somewhat severe)","3 (somewhat severe)"
"2019/12/03 4:06:17 PM CET","English","Other","3 (somewhat severe)","1 (not severe)","3 (somewhat severe)","2","3 (somewhat severe)","2","1 (not severe)","2"
"2019/12/03 4:08:08 PM CET","English","Other","4","5 (severe)","3 (somewhat severe)","5 (severe)","1 (not severe)","2","4","3 (somewhat severe)"
"2019/12/03 4:10:02 PM CET","Italian","English","5 (severe)","5 (severe)","3 (somewhat severe)","3 (somewhat severe)","2","2","4","3 (somewhat severe)"
"2019/12/03 4:10:04 PM CET","English","English","3 (somewhat severe)","3 (somewhat severe)","4","2","2","3 (somewhat severe)","2","1 (not severe)"
"2019/12/03 4:11:16 PM CET","English","Other","3 (somewhat severe)","4","2","3 (somewhat severe)","1 (not severe)","2","2","2"
"2019/12/03 4:11:19 PM CET","English","","4","5 (severe)","2","2","3 (somewhat severe)","3 (somewhat severe)","2","1 (not severe)"
"2019/12/03 4:11:25 PM CET","English","Other","3 (somewhat severe)","3 (somewhat severe)","2","4","1 (not severe)","2","3 (somewhat severe)","1 (not severe)"
"2019/12/03 4:12:05 PM CET","English","Other","2","3 (somewhat severe)","3 (somewhat severe)","1 (not severe)","1 (not severe)","2","2","2"
"2019/12/03 4:14:24 PM CET","Italian","English","3 (somewhat severe)","3 (somewhat severe)","1 (not severe)","4","1 (not severe)","4","3 (somewhat severe)","1 (not severe)"
"2019/12/03 4:14:56 PM CET","Italian","Italian","2","3 (somewhat severe)","1 (not severe)","2","1 (not severe)","2","1 (not severe)","1 (not severe)"
"2019/12/03 4:14:59 PM CET","English","Other","3 (somewhat severe)","5 (severe)","4","2","3 (somewhat severe)","2","4","1 (not severe)"
"2019/12/03 4:15:19 PM CET","English","Other","5 (severe)","4","4","4","1 (not severe)","2","3 (somewhat severe)","4"
"2019/12/03 4:15:28 PM CET","English","English","4","4","2","2","1 (not severe)","2","2","2"
"2019/12/03 4:17:03 PM CET","English","Other","4","2","2","1 (not severe)","1 (not severe)","2","2","2"
"2019/12/03 4:17:42 PM CET","English","Other","3 (somewhat severe)","5 (severe)","2","3 (somewhat severe)","1 (not severe)","3 (somewhat severe)","2","3 (somewhat severe)"
"2019/12/03 4:18:28 PM CET","English","English","3 (somewhat severe)","3 (somewhat severe)","1 (not severe)","1 (not severe)","2","2","1 (not severe)","1 (not severe)"
"2019/12/03 4:19:07 PM CET","English","Other","3 (somewhat severe)","4","2","1 (not severe)","1 (not severe)","1 (not severe)","1 (not severe)","1 (not severe)"
"2019/12/03 4:19:24 PM CET","English","Other","4","3 (somewhat severe)","1 (not severe)","2","1 (not severe)","1 (not severe)","2","2"
"2019/12/03 4:19:50 PM CET","English","Other","2","3 (somewhat severe)","2","2","3 (somewhat severe)","3 (somewhat severe)","1 (not severe)","3 (somewhat severe)"
"2019/12/03 4:20:24 PM CET","English","Other","3 (somewhat severe)","2","1 (not severe)","1 (not severe)","2","3 (somewhat severe)","1 (not severe)","1 (not severe)"
"2019/12/03 4:20:58 PM CET","English","Other","4","4","4","3 (somewhat severe)","3 (somewhat severe)","2","3 (somewhat severe)","3 (somewhat severe)"
"2019/12/03 4:21:10 PM CET","English","Other","4","3 (somewhat severe)","2","2","1 (not severe)","2","2","3 (somewhat severe)"
"2019/12/03 4:21:26 PM CET","English","English","4","3 (somewhat severe)","5 (severe)","2","1 (not severe)","2","3 (somewhat severe)","1 (not severe)"
"2019/12/03 4:21:46 PM CET","English","English","4","4","2","1 (not severe)","1 (not severe)","2","2","1 (not severe)"
"2019/12/03 4:21:55 PM CET","English","English","3 (somewhat severe)","3 (somewhat severe)","2","2","1 (not severe)","2","1 (not severe)","3 (somewhat severe)"
"2019/12/03 4:22:18 PM CET","English","Other","5 (severe)","4","3 (somewhat severe)","1 (not severe)","3 (somewhat severe)","2","3 (somewhat severe)","2"
"2019/12/03 4:22:50 PM CET","English","","3 (somewhat severe)","4","4","2","2","2","1 (not severe)","2"
"2019/12/03 4:23:20 PM CET","English","Other","4","4","2","1 (not severe)","1 (not severe)","1 (not severe)","2","3 (somewhat severe)"
"2019/12/03 4:23:33 PM CET","English","","2","3 (somewhat severe)","2","1 (not severe)","1 (not severe)","3 (somewhat severe)","1 (not severe)","1 (not severe)"
"2019/12/03 4:24:53 PM CET","English","","4","3 (somewhat severe)","3 (somewhat severe)","2","3 (somewhat severe)","2","2","3 (somewhat severe)"
"2019/12/03 4:25:34 PM CET","English","Other","4","3 (somewhat severe)","2","3 (somewhat severe)","1 (not severe)","2","3 (somewhat severe)","2"
"2019/12/03 4:26:29 PM CET","English","Other","5 (severe)","5 (severe)","1 (not severe)","3 (somewhat severe)","2","4","4","3 (somewhat severe)"
"2019/12/03 4:27:12 PM CET","English","Other","3 (somewhat severe)","4","2","3 (somewhat severe)","2","3 (somewhat severe)","3 (somewhat severe)","4"
"2019/12/03 4:29:16 PM CET","English","","2","4","5 (severe)","3 (somewhat severe)","2","1 (not severe)","2","3 (somewhat severe)"
"2019/12/03 4:29:33 PM CET","English","Other","5 (severe)","3 (somewhat severe)","1 (not severe)","4","5 (severe)","5 (severe)","5 (severe)","3 (somewhat severe)"
"2019/12/03 4:29:40 PM CET","English","Other","2","3 (somewhat severe)","1 (not severe)","3 (somewhat severe)","1 (not severe)","2","2","2"
"2019/12/03 4:29:56 PM CET","English","Other","2","3 (somewhat severe)","2","2","4","2","2","1 (not severe)"
"2019/12/03 4:30:17 PM CET","Other","English","5 (severe)","5 (severe)","3 (somewhat severe)","3 (somewhat severe)","1 (not severe)","2","2","2"
"2019/12/03 4:31:20 PM CET","English","Other","3 (somewhat severe)","2","2","1 (not severe)","1 (not severe)","1 (not severe)","1 (not severe)","1 (not severe)"
"2019/12/03 4:32:24 PM CET","English","Other","3 (somewhat severe)","3 (somewhat severe)","2","3 (somewhat severe)","2","2","3 (somewhat severe)","3 (somewhat severe)"
"2019/12/03 4:34:07 PM CET","English","Other","3 (somewhat severe)","4","3 (somewhat severe)","2","1 (not severe)","3 (somewhat severe)","3 (somewhat severe)","5 (severe)"
"2019/12/03 4:34:21 PM CET","Italian","English","4","3 (somewhat severe)","1 (not severe)","4","1 (not severe)","2","3 (somewhat severe)","4"
"2019/12/03 4:36:26 PM CET","English","Other","5 (severe)","4","3 (somewhat severe)","4","1 (not severe)","2","4","4"
"2019/12/03 4:36:38 PM CET","English","Other","4","4","3 (somewhat severe)","3 (somewhat severe)","2","3 (somewhat severe)","3 (somewhat severe)","3 (somewhat severe)"
"2019/12/03 4:36:59 PM CET","English","Other","5 (severe)","5 (severe)","5 (severe)","4","1 (not severe)","3 (somewhat severe)","3 (somewhat severe)","2"
"2019/12/03 4:37:08 PM CET","English","Other","5 (severe)","4","2","2","1 (not severe)","4","2","3 (somewhat severe)"
"2019/12/03 4:37:19 PM CET","Italian","English","4","2","1 (not severe)","2","1 (not severe)","2","2","3 (somewhat severe)"
"2019/12/03 4:37:30 PM CET","English","Other","4","3 (somewhat severe)","1 (not severe)","3 (somewhat severe)","1 (not severe)","4","4","1 (not severe)"
"2019/12/03 4:39:42 PM CET","English","Other","4","5 (severe)","2","4","3 (somewhat severe)","5 (severe)","5 (severe)","3 (somewhat severe)"
"2019/12/03 4:40:19 PM CET","English","","4","4","3 (somewhat severe)","4","2","3 (somewhat severe)","4","3 (somewhat severe)"
"2019/12/03 4:40:54 PM CET","English","","5 (severe)","5 (severe)","3 (somewhat severe)","5 (severe)","2","2","3 (somewhat severe)","3 (somewhat severe)"
"2019/12/03 4:46:38 PM CET","English","Other","4","2","2","4","1 (not severe)","4","5 (severe)","3 (somewhat severe)"
"2019/12/03 4:47:20 PM CET","English","English","4","5 (severe)","4","1 (not severe)","2","2","1 (not severe)","3 (somewhat severe)"
"2019/12/03 4:47:31 PM CET","English","Other","2","2","2","2","1 (not severe)","3 (somewhat severe)","1 (not severe)","1 (not severe)"
"2019/12/03 4:47:58 PM CET","English","","4","2","1 (not severe)","1 (not severe)","1 (not severe)","2","1 (not severe)","2"
"2019/12/03 4:49:08 PM CET","English","Other","4","5 (severe)","2","1 (not severe)","3 (somewhat severe)","3 (somewhat severe)","3 (somewhat severe)","3 (somewhat severe)"
"2019/12/03 4:50:06 PM CET","English","Other","3 (somewhat severe)","5 (severe)","5 (severe)","3 (somewhat severe)","1 (not severe)","2","3 (somewhat severe)","3 (somewhat severe)"
"2019/12/03 4:50:55 PM CET","English","Other","4","5 (severe)","4","2","1 (not severe)","2","2","2"
"2019/12/03 4:51:03 PM CET","English","Other","3 (somewhat severe)","5 (severe)","1 (not severe)","1 (not severe)","2","2","3 (somewhat severe)","3 (somewhat severe)"
"2019/12/03 4:51:52 PM CET","English","Other","3 (somewhat severe)","5 (severe)","2","1 (not severe)","1 (not severe)","2","3 (somewhat severe)","1 (not severe)"
"2019/12/03 4:52:03 PM CET","English","Other","3 (somewhat severe)","4","1 (not severe)","1 (not severe)","1 (not severe)","1 (not severe)","2","2"
"2019/12/03 4:52:30 PM CET","English","Other","3 (somewhat severe)","4","3 (somewhat severe)","5 (severe)","2","5 (severe)","4","3 (somewhat severe)"
"2019/12/03 4:52:31 PM CET","English","Other","3 (somewhat severe)","4","2","1 (not severe)","1 (not severe)","1 (not severe)","2","2"
"2019/12/03 4:53:16 PM CET","English","Other","3 (somewhat severe)","4","4","3 (somewhat severe)","3 (somewhat severe)","3 (somewhat severe)","2","3 (somewhat severe)"
"2019/12/03 4:54:29 PM CET","English","English","4","4","2","3 (somewhat severe)","1 (not severe)","2","3 (somewhat severe)","4"
"2019/12/03 4:54:49 PM CET","English","","2","2","2","2","1 (not severe)","2","2","2"
"2019/12/03 4:55:25 PM CET","English","Other","3 (somewhat severe)","4","3 (somewhat severe)","3 (somewhat severe)","1 (not severe)","3 (somewhat severe)","3 (somewhat severe)","2"
"2019/12/03 4:58:24 PM CET","English","English","3 (somewhat severe)","4","3 (somewhat severe)","3 (somewhat severe)","1 (not severe)","2","3 (somewhat severe)","2"
"2019/12/03 4:58:55 PM CET","English","Other","3 (somewhat severe)","4","2","2","1 (not severe)","2","2","1 (not severe)"
"2019/12/03 4:58:57 PM CET","English","English","3 (somewhat severe)","4","4","2","2","2","2","3 (somewhat severe)"
"2019/12/03 4:59:36 PM CET","English","Other","4","3 (somewhat severe)","3 (somewhat severe)","2","1 (not severe)","2","2","3 (somewhat severe)"
"2019/12/03 5:00:13 PM CET","English","Other","2","3 (somewhat severe)","2","2","1 (not severe)","3 (somewhat severe)","4","3 (somewhat severe)"
