sesso,eta_1,coinqui,citta,etnia_1,regione,tit_studio,lavoro,altezza_1,peso_1,ora_letto,ore_di_sonno,imp_sonno_1,fumo,fumo_inizio,fumo_oggetto,droghe,droghe_tipo,droghe_freq,alcol_sino,alcol_quant_1,alcol_quant_2,alcol_quant_3,alcol_quant_4,sport_imp_1,sport,sport_freq_1,sport_impegno_1,sport_dieta,scuola_dist,scuola_mezzo,bici,bici_freq,passeggiata_freq,app_passi,veg,integratori,integratori_freq,integratori_why,valori_nut,valori_nut_quali,spes,qualita_economicita_1,salto_pasti,salto_pasti_quali,acqua_quanta,bibite_freq,alimentaz_imp_1,peso_cibo,so_cucinare,cucino_io,abitudini_cambio,abitudini_why_cambio,abitudini_anni_cambi,giorno_cibi_1,giorno_cibi_2,giorno_cibi_3,giorno_cibi_4,giorno_cibi_5,giorno_cibi_6,giorno_cibi_7,pausa_mattina_cibi_1,pausa_mattina_cibi_2,pausa_mattina_cibi_3,pausa_mattina_cibi_4,pausa_pome_cibi_1,pausa_pome_cibi_2,pausa_pome_cibi_3,pausa_pome_cibi_4,fast_food_freq_1,surgelati_freq_1,asporto_freq_1,ore_sonno_code,bici_code,pass_code,bibite_code,health,lifestyle
Femmina,18.0,Genitori/genitore,Paese ,Canada,999,Maturità,"Studente,Lavoratore part time",210.0,58.0,Tra le 23 e l'1,7-8 ore,92.0,Occasionalmente,999,999,Sì,Leggere,Occasionalmente,Sì,0.0,0.0,0.0,0.0,80.0,Sì,3.0,62.0,No,Più di 5 km,"auto,bici",Sì,Raramente,A volte,Sì,No,Sì,Abitualmente,Scelte personali,Sì,"Calorie, grassi, zuccheri,Prodotti chimici come conservanti e dolcificanti",Genitori,28.0,Sì,Colazione,Tra 1 e 2 litri,Raramente,78.0,No,Sì,Spesso,Sì,"Quando ho finito le superiori,Per la mia forma fisica",18,5.0,6.0,6.0,2.0,2.0,1.0,6.0,2.0,0.0,2.0,0.0,4.0,1.0,3.0,0.0,6.0,0.0,0.0,2,3,0,3,-4.230214733352176,3.5
Femmina,23.0,Con un partner,Citta,Emirati Arabi Uniti,999,Maturità,Lavoratore a tempo pieno,204.0,59.0,Prima delle 23,6-7 ore,75.0,No,999,999,Sì,Leggere,Abitualmente,No,5.0,0.0,0.0,1.0,73.0,Sì,5.0,66.0,No,Più di 5 km,auto,No,Quasi mai,A volte,Sì,Semi-vegetariano (mangi il pesce),No,999,999,Sì,Prodotti chimici come conservanti e dolcificanti,Io,64.0,No,999,Meno di 1 litro,Quasi mai,100.0,No,Sì,Quasi sempre,Sì,Quando sono andato a vivere da solo,18,10.0,10.0,5.0,2.0,0.0,2.0,5.0,1.0,3.0,2.0,2.0,1.0,3.0,2.0,2.0,2.0,0.0,4.0,1,1,0,2,0.23409574653848214,3.1428571428571423
Maschio,16.0,Genitori/genitore,Paese ,Stati Uniti d'America,999,Maturità,"Studente,Lavoratore a tempo pieno",105.0,97.0,Prima delle 23,7-8 ore,89.0,No,999,999,Sì,Leggere,Abitualmente,No,0.0,0.0,0.0,0.0,100.0,No,0.0,50.0,999,Meno di 1 km,piedi,No,Quasi mai,Quasi sempre,No,No,No,999,999,A volte,999,Genitori,16.0,Sì,Colazione,Tra 1 e 2 litri,Raramente,88.0,No,Sì,Quasi sempre,No,999,999,7.0,12.0,0.0,4.0,9.0,1.0,4.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,3.0,4.0,4.0,4.0,2,1,2,3,-7.72409666316663,3.5
Maschio,23.0,Genitori/genitore,Metropoli  ,Stati Uniti d'America,999,Maturità,Studente,210.0,84.0,Tra le 23 e l'1,7-8 ore,87.0,No,999,999,No,999,999,No,2.0,0.0,0.0,0.0,81.0,Sì,2.0,29.0,No,Più di 5 km,auto,No,Quasi mai,Quasi mai,No,No,No,999,999,Sì,"Calorie, grassi, zuccheri",Io,50.0,Sì,"Colazione,Cena",Meno di 1 litro,Spesso,100.0,No,Sì,Quasi sempre,Sì,Quando sono andato a vivere da solo,18,0.0,11.0,2.0,2.0,11.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,21.0,0.0,0.0,2,1,1,4,-9.261904761904763,-0.2857142857142856
Femmina,20.0,Con un partner,Citta,Polonia,999,Laurea triennale,Studente,101.0,59.0,Tra le 23 e l'1,7-8 ore,100.0,Occasionalmente,999,999,No,999,999,No,3.0,3.0,1.0,0.0,81.0,Sì,2.0,19.0,No,Più di 5 km,"metro,bici,piedi",Sì,A volte,Quasi sempre,Sì,No,No,999,999,A volte,999,Io,50.0,No,999,Più di 2 litri,Raramente,100.0,No,Sì,Quasi sempre,Sì,"Quando sono andato a vivere da solo,Quando ho deciso di cambiare regime alimentare (vegetariano, vegano, ecc...),Per la mia forma fisica",18,14.0,14.0,2.0,6.0,3.0,2.0,5.0,1.0,1.0,0.0,0.0,2.0,4.0,0.0,0.0,4.0,1.0,0.0,2,0,2,3,0.7928077571488452,1.5
Maschio,33.0,Con un partner,Citta,Stati Uniti d'America,999,Laurea triennale,Lavoratore a tempo pieno,121.0,82.0,Tra le 23 e l'1,7-8 ore,85.0,Occasionalmente,999,999,No,999,999,No,8.0,4.0,0.0,0.0,100.0,Sì,3.0,35.0,No,Tra 1 e 5 km,auto,No,Quasi mai,A volte,Sì,No,No,999,999,A volte,999,Io,65.0,Sì,Colazione,Tra 1 e 2 litri,Raramente,80.0,No,Sì,Quasi sempre,No,999,999,12.0,7.0,0.0,5.0,10.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,4.0,4.0,2.0,10.0,4.0,2,1,0,3,-6.238382377452345,-1.2142857142857142
Femmina,20.0,Coinquilini,Paese ,Stati Uniti d'America,999,Maturità,"Studente,Lavoratore part time",196.0,73.0,Prima delle 23,8-9 ore,100.0,No,999,999,No,999,999,No,0.0,0.0,0.0,1.0,64.0,No,0.0,50.0,999,Meno di 1 km,auto,No,Quasi mai,Raramente,No,No,No,999,999,A volte,999,Io,23.0,No,999,Più di 2 litri,Quasi mai,100.0,No,Sì,Quasi sempre,Sì,"Quando sono andato a vivere da solo,Quando ho finito le superiori",18,7.0,10.0,1.0,7.0,4.0,1.0,5.0,2.0,1.0,2.0,2.0,1.0,0.0,3.0,1.0,4.0,2.0,1.0,3,1,3,2,-4.503685409411797,2.357142857142857
Femmina,21.0,Con un partner,Citta,Regno Unito,999,Laurea triennale,Lavoratore a tempo pieno,190.0,74.0,Prima delle 23,6-7 ore,61.0,Sì,Dopo i 18 anni,Sigaretta,No,999,999,No,0.0,0.0,0.0,2.0,50.0,No,0.0,50.0,999,Più di 5 km,"metro,piedi",No,Quasi mai,Spesso,Sì,No,Sì,Abitualmente,Necessità mediche,A volte,999,Io,16.0,Sì,Colazione,Più di 2 litri,Spesso,60.0,No,Sì,Quasi sempre,Sì,"Per necessità mediche,Quando sono andato a vivere da solo,Per la mia forma fisica",19,5.0,9.0,0.0,8.0,11.0,2.0,2.0,2.0,0.0,3.0,3.0,2.0,0.0,4.0,4.0,2.0,5.0,3.0,1,1,4,4,-8.488144623803535,2.7142857142857144
Femmina,22.0,Coinquilini,Paese ,Canada,999,Laurea triennale,"Studente,Lavoratore part time",101.0,61.0,Prima delle 23,7-8 ore,100.0,No,999,999,Sì,Leggere,Occasionalmente,No,1.0,2.0,0.0,1.0,100.0,Sì,5.0,78.0,No,Più di 5 km,auto,Sì,A volte,Spesso,Sì,No,Sì,Abitualmente,Necessità mediche,Sì,"Calorie, grassi, zuccheri,Prodotti chimici come conservanti e dolcificanti",Io,98.0,Sì,Colazione,Più di 2 litri,Quasi mai,100.0,Sì,Sì,Quasi sempre,Sì,Per la mia forma fisica,20,14.0,12.0,14.0,2.0,2.0,7.0,7.0,2.0,2.0,0.0,2.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,2,0,4,2,6.828769525810328,4.928571428571429
Femmina,20.0,Da solo,Citta,Romania,999,Maturità,Studente,210.0,46.0,Tra le 23 e l'1,4-6 ore,78.0,No,999,999,No,999,999,No,0.0,1.0,0.0,0.0,67.0,Sì,2.0,26.0,No,Tra 1 e 5 km,"metro,piedi",No,Quasi mai,A volte,Sì,No,Sì,Occasionalmente,Scelte personali,A volte,999,Io,28.0,Sì,"Colazione,Cena",Tra 1 e 2 litri,Raramente,88.0,No,Sì,A volte,No,999,999,8.0,12.0,6.0,4.0,7.0,3.0,5.0,5.0,2.0,5.0,0.0,5.0,2.0,5.0,0.0,3.0,3.0,0.0,0,1,0,3,0.4902189455231616,-0.1428571428571428
Femmina,33.0,Coinquilini,Metropoli  ,Francia,999,Laurea magistrale,Lavoratore part time,93.0,50.0,Tra le 23 e l'1,7-8 ore,100.0,No,999,999,No,999,999,No,0.0,1.0,0.0,0.0,100.0,Sì,4.0,95.0,No,Tra 1 e 5 km,"metro,piedi",No,Quasi mai,Spesso,Sì,Vegano,Sì,Abitualmente,Scelte personali,Sì,"Calorie, grassi, zuccheri,Allergeni",Io,62.0,Sì,Colazione,Tra 1 e 2 litri,Quasi mai,100.0,No,Sì,Quasi sempre,Sì,"Quando ho deciso di cambiare regime alimentare (vegetariano, vegano, ecc...)",24,14.0,9.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,7.0,5.0,1.0,0.0,1.0,1.0,0.0,2,1,4,2,-0.4142857142857137,5.357142857142858
Femmina,20.0,Genitori/genitore,Paese ,Italia,Nord,Maturità,Studente,210.0,55.0,Prima delle 23,6-7 ore,97.0,No,999,999,No,999,999,No,1.0,0.0,1.0,1.0,50.0,Sì,2.0,50.0,No,Più di 5 km,metro,Sì,Raramente,A volte,Sì,No,Sì,Abitualmente,Necessità mediche,No,999,Genitori,64.0,No,999,Tra 1 e 2 litri,A volte,65.0,No,Sì,Spesso,Sì,Per necessità mediche,16,12.0,2.0,0.0,5.0,5.0,3.0,1.0,1.0,1.0,4.0,0.0,2.0,3.0,3.0,0.0,2.0,8.0,2.0,1,3,0,0,-1.9227106033389125,4.071428571428571
Femmina,30.0,Con un partner,Citta,India,999,Laurea magistrale,Lavoratore a tempo pieno,204.0,67.0,Tra le 23 e l'1,7-8 ore,100.0,No,999,999,No,999,999,Sì,0.0,0.0,0.0,0.0,89.0,Sì,4.0,64.0,Sì,Tra 1 e 5 km,auto,No,Quasi mai,Raramente,Sì,Vegetariano,Sì,Occasionalmente,Scelte personali,Sì,"Calorie, grassi, zuccheri,Prodotti chimici come conservanti e dolcificanti",Io,80.0,No,999,Tra 1 e 2 litri,Raramente,96.0,No,Sì,Quasi sempre,Sì,Per la mia forma fisica,27,14.0,12.0,12.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,1.0,4.0,0.0,3.0,2,1,3,3,1.990033917962102,2.5
Femmina,49.0,Con un partner,Citta,Canada,999,Laurea triennale,Lavoratore a tempo pieno,111.0,72.0,Prima delle 23,6-7 ore,100.0,No,999,999,No,999,999,No,0.0,12.0,0.0,0.0,64.0,Sì,5.0,81.0,No,Tra 1 e 5 km,auto,No,Quasi mai,A volte,No,No,Sì,Abitualmente,Scelte personali,Sì,"Calorie, grassi, zuccheri,Prodotti chimici come conservanti e dolcificanti",Io,72.0,Sì,Colazione,Tra 1 e 2 litri,Quasi mai,70.0,No,Sì,Spesso,Sì,Per la mia forma fisica,49,6.0,8.0,4.0,11.0,9.0,8.0,11.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,6.0,1.0,1.0,1,1,0,2,-6.6302260382477805,2.2857142857142856
Maschio,26.0,Da solo,Paese ,Stati Uniti d'America,999,Laurea triennale,Lavoratore a tempo pieno,127.0,80.0,Prima delle 23,7-8 ore,100.0,No,999,999,No,999,999,No,1.0,0.0,0.0,0.0,100.0,Sì,3.0,50.0,No,Più di 5 km,auto,No,Quasi mai,A volte,No,No,No,999,999,No,999,Io,100.0,No,999,Più di 2 litri,Spesso,100.0,No,Sì,Spesso,Sì,Quando sono andato a vivere da solo,20,14.0,14.0,6.0,0.0,7.0,1.0,5.0,5.0,3.0,3.0,0.0,3.0,3.0,5.0,0.0,1.0,4.0,7.0,2,1,0,4,1.8459757428383017,1.8571428571428572
Maschio,28.0,Coinquilini,Citta,Germania,999,Maturità,Lavoratore a tempo pieno,119.0,79.0,Tra le 23 e l'1,7-8 ore,100.0,Sì,Dopo i 18 anni,"Sigaretta,Tabacco da rollare",No,999,999,No,4.0,0.0,0.0,0.0,78.0,Sì,4.0,35.0,No,Meno di 1 km,piedi,Sì,Quasi mai,A volte,Sì,No,No,999,999,A volte,999,Io,63.0,Sì,"Colazione,Cena",Tra 1 e 2 litri,Spesso,74.0,No,Sì,Quasi sempre,Sì,"Quando sono andato a vivere da solo,Per la mia forma fisica",20,5.0,3.0,3.0,8.0,3.0,0.0,9.0,0.0,2.0,0.0,2.0,0.0,2.0,2.0,1.0,1.0,0.0,0.0,2,1,0,4,-7.800221136257044,0.9285714285714288
Femmina,55.0,Con un partner,Paese ,Italia,Sud,Licenza media,Lavoratore a tempo pieno,208.0,72.0,Tra le 23 e l'1,4-6 ore,89.0,Sì,Prima dei 18 anni,Sigaretta,No,999,999,No,2.0,3.0,2.0,1.0,20.0,No,0.0,50.0,999,Meno di 1 km,auto,Sì,A volte,Raramente,Sì,No,No,999,999,No,999,Io,50.0,Sì,Pranzo,Tra 1 e 2 litri,Raramente,74.0,No,Sì,Quasi sempre,Sì,Per la mia forma fisica,50 ,6.0,7.0,2.0,4.0,2.0,1.0,2.0,2.0,0.0,3.0,2.0,2.0,0.0,3.0,1.0,1.0,1.0,1.0,0,0,3,3,-3.971715710785678,-4.642857142857142
Femmina,25.0,Con un partner,Metropoli  ,Grecia,999,Laurea triennale,Studente,206.0,70.0,Dopo l'1,6-7 ore,100.0,Occasionalmente,999,999,No,999,999,No,0.0,1.0,0.0,0.0,96.0,Sì,3.0,58.0,No,Più di 5 km,metro,No,Quasi mai,Quasi sempre,Sì,No,No,999,999,Sì,"Calorie, grassi, zuccheri",Io,50.0,No,999,Più di 2 litri,Raramente,75.0,No,Sì,Quasi sempre,Sì,Per la mia forma fisica,25,7.0,1.0,3.0,1.0,2.0,2.0,2.0,6.0,1.0,0.0,0.0,6.0,0.0,0.0,3.0,4.0,0.0,3.0,1,1,2,3,-3.0931276648224846,-0.6428571428571428
Maschio,21.0,Coinquilini,Paese ,Isole Minori degli Stati Uniti d'America,999,Laurea triennale,"Studente,Lavoratore part time",119.0,70.0,Tra le 23 e l'1,6-7 ore,82.0,Occasionalmente,999,999,Sì,Leggere,Abitualmente,No,0.0,4.0,0.0,2.0,99.0,Sì,5.0,99.0,No,Meno di 1 km,"auto,bici,piedi",Sì,A volte,Spesso,No,No,Sì,Abitualmente,Per uno sport,A volte,999,Io,21.0,Sì,Colazione,Tra 1 e 2 litri,Spesso,62.0,No,Sì,Quasi sempre,Sì,"Quando sono andato a vivere da solo,Quando ho finito le superiori,Per la mia forma fisica,Per lo sport",21,6.0,10.0,2.0,9.0,10.0,2.0,5.0,3.0,2.0,3.0,1.0,3.0,3.0,3.0,3.0,10.0,0.0,7.0,1,0,4,4,-5.711954147613059,3.6428571428571423
Femmina,27.0,Con un partner,Metropoli  ,Israele,999,Laurea magistrale,Studente,97.0,80.0,Tra le 23 e l'1,7-8 ore,100.0,No,999,999,Sì,Leggere,Occasionalmente,No,3.0,4.0,0.0,0.0,78.0,Sì,3.0,21.0,No,Tra 1 e 5 km,"metro,piedi",No,Quasi mai,Spesso,Sì,Semi-vegetariano (mangi il pesce),Sì,Abitualmente,Necessità mediche,Sì,"Calorie, grassi, zuccheri,Prodotti chimici come conservanti e dolcificanti,Allergeni",Io,73.0,Sì,Colazione,Più di 2 litri,Quasi mai,100.0,No,Sì,Quasi sempre,Sì,"Quando sono andato a vivere da solo,Quando ho deciso di cambiare regime alimentare (vegetariano, vegano, ecc...)",23,14.0,14.0,5.0,7.0,0.0,7.0,4.0,2.0,0.0,0.0,0.0,6.0,0.0,4.0,0.0,0.0,2.0,5.0,2,1,4,2,1.8981813457598897,4.0
Femmina,30.0,Con un partner,Citta,Stati Uniti d'America,999,Laurea triennale,Lavoratore a tempo pieno,202.0,87.0,Tra le 23 e l'1,4-6 ore,95.0,No,999,999,Sì,Pesanti,Abitualmente,No,0.0,0.0,0.0,4.0,85.0,Sì,3.0,50.0,No,Più di 5 km,auto,No,Quasi mai,Spesso,Sì,No,No,999,999,Sì,"Calorie, grassi, zuccheri,Prodotti chimici come conservanti e dolcificanti",Io,3.0,No,999,Meno di 1 litro,A volte,100.0,No,Sì,Spesso,Sì,Per la mia forma fisica,29,8.0,10.0,0.0,0.0,10.0,8.0,4.0,5.0,0.0,7.0,7.0,4.0,0.0,5.0,5.0,3.0,3.0,10.0,0,1,4,0,-2.3900961648050663,1.4285714285714286
Femmina,25.0,Coinquilini,Citta,Australia,999,Laurea magistrale,Lavoratore a tempo pieno,93.0,63.0,Prima delle 23,7-8 ore,97.0,No,999,999,No,999,999,No,0.0,2.0,5.0,8.0,50.0,No,0.0,50.0,999,Più di 5 km,auto,Sì,Quasi mai,Quasi mai,No,No,Sì,Abitualmente,Necessità mediche,Sì,"Calorie, grassi, zuccheri",Io,50.0,Sì,Colazione,Meno di 1 litro,Quasi mai,90.0,Sì,Sì,Quasi sempre,Sì,"Quando ho finito le superiori,Per la mia forma fisica",17,7.0,7.0,6.0,1.0,7.0,1.0,1.0,4.0,0.0,2.0,3.0,2.0,0.0,4.0,2.0,2.0,12.0,2.0,2,1,1,2,-2.7206909238283656,-0.6428571428571428
Maschio,23.0,Da solo,Paese ,Stati Uniti d'America,999,Laurea triennale,Lavoratore a tempo pieno,127.0,75.0,Prima delle 23,6-7 ore,100.0,No,999,999,No,999,999,No,14.0,1.0,0.0,0.0,85.0,Sì,4.0,78.0,No,Più di 5 km,auto,Sì,Raramente,Quasi sempre,Sì,Semi-vegetariano (mangi il pesce),No,999,999,Sì,"Calorie, grassi, zuccheri,Prodotti chimici come conservanti e dolcificanti",Io,100.0,No,999,Più di 2 litri,Quasi mai,100.0,No,Sì,Quasi sempre,No,999,999,5.0,10.0,0.0,3.0,1.0,7.0,0.0,4.0,5.0,2.0,2.0,3.0,0.0,3.0,3.0,2.0,2.0,0.0,1,3,2,2,-2.5859637864868894,3.3571428571428577
Maschio,27.0,Da solo,Metropoli  ,Stati Uniti d'America,999,Laurea magistrale,Lavoratore a tempo pieno,117.0,105.0,Tra le 23 e l'1,6-7 ore,88.0,No,999,999,No,999,999,No,3.0,0.0,0.0,0.0,100.0,Sì,2.0,0.0,No,Tra 1 e 5 km,auto,Sì,Raramente,A volte,Sì,No,No,999,999,A volte,999,Io,75.0,No,999,Tra 1 e 2 litri,Raramente,25.0,No,Sì,Spesso,Sì,Quando sono andato a vivere da solo,19,10.0,3.0,3.0,7.0,12.0,1.0,3.0,0.0,0.0,0.0,3.0,2.0,3.0,1.0,3.0,0.0,0.0,3.0,1,3,0,3,-6.205270180376055,0.5714285714285712
Femmina,34.0,Con un partner,Metropoli  ,Romania,999,Laurea triennale,Lavoratore a tempo pieno,111.0,68.0,Tra le 23 e l'1,6-7 ore,95.0,Sì,Prima dei 18 anni,Sigaretta,No,999,999,No,0.0,2.0,0.0,0.0,50.0,No,0.0,50.0,999,Più di 5 km,metro,No,Quasi mai,Quasi sempre,Sì,No,Sì,Abitualmente,Scelte personali,Sì,"Calorie, grassi, zuccheri",Io,50.0,Sì,Colazione,Tra 1 e 2 litri,Raramente,78.0,No,Sì,Quasi sempre,Sì,Per la mia forma fisica,32,14.0,3.0,14.0,8.0,4.0,1.0,6.0,3.0,3.0,1.0,1.0,5.0,5.0,1.0,1.0,0.0,0.0,0.0,1,1,2,3,0.5858747443686811,-1.7857142857142856
Femmina,22.0,Genitori/genitore,Metropoli  ,Austria,999,Laurea triennale,Studente,113.0,82.0,Dopo l'1,8-9 ore,80.0,No,999,999,No,999,999,No,0.0,1.0,0.0,0.0,63.0,Sì,3.0,70.0,No,Più di 5 km,metro,Sì,Raramente,Spesso,Sì,No,No,999,999,Sì,"Calorie, grassi, zuccheri,Prodotti chimici come conservanti e dolcificanti",Genitori,67.0,Sì,Colazione,Tra 1 e 2 litri,A volte,69.0,No,Sì,Quasi sempre,Sì,"Quando sono andato a vivere da solo,Quando ho finito le superiori,Quando ho deciso di cambiare regime alimentare (vegetariano, vegano, ecc...),Per la mia forma fisica","18, 22",14.0,14.0,8.0,3.0,3.0,2.0,4.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,4.0,6.0,2.0,3,3,4,0,3.192807757148845,2.857142857142857
Femmina,24.0,Con un partner,Metropoli  ,Canada,999,Maturità,"Studente,Lavoratore a tempo pieno",97.0,59.0,Prima delle 23,7-8 ore,100.0,No,999,999,No,999,999,No,3.0,2.0,1.0,1.0,89.0,Sì,3.0,0.0,No,Più di 5 km,metro,Sì,A volte,Spesso,No,No,Sì,Occasionalmente,Scelte personali,A volte,999,Io,33.0,Sì,Colazione,Tra 1 e 2 litri,A volte,84.0,No,Sì,Quasi sempre,Sì,"Per necessità mediche,Quando sono andato a vivere da solo",19,14.0,14.0,5.0,3.0,8.0,1.0,1.0,1.0,0.0,2.0,0.0,2.0,0.0,3.0,2.0,3.0,1.0,2.0,2,0,4,0,0.5076675166991962,4.5
Maschio,18.0,Genitori/genitore,Paese ,Regno Unito,999,Maturità,Studente,113.0,56.0,Prima delle 23,6-7 ore,100.0,No,999,999,No,999,999,No,0.0,1.0,0.0,1.0,70.0,Sì,2.0,24.0,No,Meno di 1 km,"metro,piedi",No,Quasi mai,Spesso,No,No,No,999,999,Sì,"Calorie, grassi, zuccheri,Prodotti chimici come conservanti e dolcificanti",Genitori,22.0,Sì,"Colazione,Pranzo",Più di 2 litri,Quasi mai,78.0,No,Sì,Spesso,Sì,"Quando ho finito le superiori,Per la mia forma fisica",17,12.0,11.0,4.0,1.0,5.0,3.0,7.0,7.0,5.0,5.0,5.0,7.0,5.0,5.0,5.0,1.0,5.0,3.0,1,1,4,2,2.4419214279802777,6.214285714285714
Femmina,23.0,Con un partner,Paese ,Regno Unito,999,Laurea magistrale,Lavoratore a tempo pieno,210.0,60.0,Prima delle 23,7-8 ore,100.0,No,999,999,No,999,999,No,1.0,1.0,3.0,1.0,100.0,Sì,2.0,0.0,No,Più di 5 km,metro,Sì,Quasi mai,Quasi sempre,Sì,Semi-vegetariano (mangi il pesce),Sì,Occasionalmente,Scelte personali,Sì,"Calorie, grassi, zuccheri",Io,36.0,Sì,Colazione,Tra 1 e 2 litri,Raramente,100.0,Sì,Sì,Quasi sempre,Sì,"Quando ho deciso di cambiare regime alimentare (vegetariano, vegano, ecc...),Per la mia forma fisica",11,14.0,14.0,9.0,5.0,0.0,3.0,4.0,1.0,1.0,3.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,2.0,2,1,2,3,5.1766183960208245,2.142857142857143
Femmina,21.0,Genitori/genitore,Metropoli  ,Algeria,999,Laurea triennale,Lavoratore a tempo pieno,99.0,75.0,Tra le 23 e l'1,7-8 ore,100.0,No,999,999,No,999,999,No,0.0,0.0,1.0,1.0,100.0,Sì,3.0,100.0,No,Tra 1 e 5 km,metro,No,Quasi mai,Spesso,Sì,No,No,999,999,Sì,"Calorie, grassi, zuccheri",Genitori,19.0,No,999,Più di 2 litri,Raramente,100.0,No,Sì,Raramente,No,999,999,10.0,14.0,7.0,7.0,14.0,4.0,12.0,1.0,0.0,5.0,0.0,1.0,0.0,6.0,0.0,5.0,1.0,3.0,2,1,4,3,-2.6388394507260937,2.2142857142857144
Femmina,28.0,Con un partner,Paese ,Isole Minori degli Stati Uniti d'America,999,Maturità,Lavoratore part time,113.0,80.0,Prima delle 23,6-7 ore,100.0,Occasionalmente,999,999,No,999,999,No,3.0,1.0,0.0,0.0,100.0,Sì,4.0,63.0,No,Meno di 1 km,auto,No,Quasi mai,Spesso,Sì,No,No,999,999,Sì,"Calorie, grassi, zuccheri,Prodotti chimici come conservanti e dolcificanti",Io,50.0,No,999,Più di 2 litri,Raramente,100.0,Sì,Sì,Quasi sempre,Sì,Per la mia forma fisica,23,6.0,7.0,4.0,4.0,7.0,0.0,3.0,5.0,2.0,1.0,6.0,2.0,0.0,1.0,0.0,1.0,1.0,2.0,1,1,4,3,-3.187748921061762,4.428571428571429
Maschio,35.0,Con un partner,Citta,Messico,999,Maturità,Lavoratore a tempo pieno,107.0,87.0,Dopo l'1,4-6 ore,100.0,No,999,999,Sì,Leggere,Abitualmente,No,1.0,0.0,0.0,0.0,100.0,No,0.0,50.0,999,Tra 1 e 5 km,auto,Sì,Quasi mai,Raramente,Sì,No,No,999,999,A volte,999,Io,20.0,No,999,Meno di 1 litro,Spesso,100.0,No,Sì,A volte,No,999,999,4.0,3.0,0.0,4.0,7.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,28.0,0,1,3,4,-9.004761904761903,-4.642857142857142
Femmina,17.0,Coinquilini,Citta,Vietnam,999,Licenza media,Studente,93.0,50.0,Tra le 23 e l'1,6-7 ore,88.0,No,999,999,No,999,999,Sì,0.0,0.0,0.0,0.0,80.0,Sì,7.0,69.0,No,Tra 1 e 5 km,"bici,piedi",Sì,Raramente,Quasi sempre,Sì,No,Sì,Occasionalmente,Scelte personali,Sì,"Calorie, grassi, zuccheri,Prodotti chimici come conservanti e dolcificanti",Io,41.0,No,999,Tra 1 e 2 litri,Quasi mai,81.0,No,Sì,Spesso,Sì,"Quando sono andato a vivere da solo,Quando ho deciso di cambiare regime alimentare (vegetariano, vegano, ecc...),Per la mia forma fisica",16,10.0,12.0,11.0,7.0,14.0,2.0,11.0,5.0,4.0,2.0,4.0,5.0,5.0,0.0,0.0,2.0,4.0,2.0,1,3,2,2,-2.7715323447243527,7.0
Femmina,25.0,Con un partner,Citta,Canada,999,Maturità,Disoccupato,121.0,74.0,Prima delle 23,6-7 ore,100.0,Occasionalmente,999,999,No,999,999,No,0.0,1.0,0.0,0.0,100.0,Sì,4.0,67.0,No,Meno di 1 km,auto,Sì,Quasi mai,A volte,Sì,Semi-vegetariano (mangi il pesce),Sì,Abitualmente,Necessità mediche,A volte,999,Io,50.0,No,999,Tra 1 e 2 litri,Raramente,100.0,No,Sì,Spesso,Sì,Quando sono andato a vivere da solo,18,14.0,14.0,2.0,5.0,6.0,2.0,5.0,0.0,0.0,1.0,1.0,1.0,0.0,3.0,3.0,2.0,4.0,1.0,1,1,0,3,0.19280775714884568,2.8571428571428577
Femmina,18.0,Coinquilini,Citta,Stati Uniti d'America,999,Maturità,Studente,117.0,68.0,Tra le 23 e l'1,8-9 ore,100.0,No,999,999,No,999,999,Sì,0.0,0.0,0.0,0.0,100.0,Sì,6.0,95.0,No,Meno di 1 km,"metro,piedi",Sì,Raramente,Quasi sempre,Sì,No,No,999,999,Sì,"Calorie, grassi, zuccheri,Prodotti chimici come conservanti e dolcificanti",Io,70.0,Sì,"Colazione,Cena",Tra 1 e 2 litri,Quasi mai,100.0,No,Sì,A volte,Sì,"Quando ho finito le superiori,Per la mia forma fisica",18,12.0,14.0,2.0,10.0,10.0,0.0,8.0,6.0,3.0,6.0,5.0,2.0,4.0,3.0,7.0,4.0,1.0,3.0,3,3,2,2,-1.6833333333333336,6.5
